Date,Weather Type,Highest Temperature,Lowest Temperature,Wind Speed,Rain,Humidity,Cloud,Pressure
2010-01-01,Partly cloudy,34,24,6,0.0,59,20,1010
2010-01-02,Cloudy,32,24,7,0.0,61,48,1010
2010-01-03,Partly cloudy,33,26,7,0.0,65,37,1010
2010-01-04,Partly cloudy,35,25,9,0.1,61,42,1009
2010-01-05,Partly cloudy,35,26,10,0.0,57,35,1009
2010-01-06,Sunny,34,25,12,0.0,56,13,1010
2010-01-07,Sunny,35,25,10,0.0,55,12,1012
2010-01-08,Sunny,35,24,6,0.0,57,14,1012
2010-01-09,Partly cloudy,33,24,5,0.0,64,35,1011
2010-01-10,Patchy light drizzle,33,25,6,1.3,62,54,1011
2010-01-11,Partly cloudy,35,25,6,0.1,61,30,1012
2010-01-12,Sunny,34,25,7,0.0,61,10,1013
2010-01-13,Cloudy,33,23,7,0.0,62,28,1015
2010-01-14,Partly cloudy,32,22,9,0.0,58,28,1016
2010-01-15,Partly cloudy,33,22,7,0.0,60,21,1015
2010-01-16,Cloudy,33,22,7,0.0,55,24,1015
2010-01-17,Cloudy,33,23,7,0.0,56,43,1015
2010-01-18,Patchy light drizzle,33,23,8,0.7,62,22,1013
2010-01-19,Heavy rain,24,22,12,23.2,84,75,1011
2010-01-20,Light rain shower,25,22,12,8.1,93,88,1011
2010-01-21,Mist,31,22,11,0.0,79,31,1013
2010-01-22,Patchy rain possible,32,24,9,1.3,77,18,1013
2010-01-23,Patchy rain possible,33,23,7,0.2,71,23,1013
2010-01-24,Sunny,34,23,9,0.0,64,17,1013
2010-01-25,Cloudy,34,23,7,0.1,65,40,1013
2010-01-26,Cloudy,34,25,6,0.2,65,57,1013
2010-01-27,Partly cloudy,35,24,7,0.2,58,30,1013
2010-01-28,Partly cloudy,33,24,8,0.0,60,33,1013
2010-01-29,Partly cloudy,33,26,8,0.0,57,35,1013
2010-01-30,Partly cloudy,34,25,9,0.0,57,32,1012
2010-01-31,Patchy light drizzle,36,25,9,1.0,57,25,1013
2010-02-01,Sunny,36,24,8,0.0,63,14,1012
2010-02-02,Partly cloudy,34,24,12,0.0,65,29,1011
2010-02-03,Partly cloudy,33,26,9,0.0,62,40,1012
2010-02-04,Partly cloudy,36,24,10,0.0,57,21,1012
2010-02-05,Sunny,37,25,10,0.0,57,13,1012
2010-02-06,Partly cloudy,36,25,12,0.0,60,16,1013
2010-02-07,Sunny,36,25,12,0.0,60,12,1013
2010-02-08,Sunny,36,25,13,0.0,56,11,1012
2010-02-09,Sunny,36,24,12,0.0,55,8,1012
2010-02-10,Sunny,36,25,13,0.0,59,6,1012
2010-02-11,Sunny,37,24,11,0.0,59,5,1013
2010-02-12,Sunny,38,26,10,0.0,56,8,1013
2010-02-13,Sunny,38,26,11,0.0,54,13,1012
2010-02-14,Sunny,37,25,12,0.0,53,14,1011
2010-02-15,Sunny,37,25,11,0.0,55,8,1012
2010-02-16,Sunny,38,25,13,0.0,52,7,1012
2010-02-17,Sunny,37,25,9,0.0,54,9,1012
2010-02-18,Sunny,37,25,9,0.0,55,18,1012
2010-02-19,Partly cloudy,34,26,11,0.0,58,26,1013
2010-02-20,Partly cloudy,38,25,10,0.0,58,20,1012
2010-02-21,Moderate or heavy rain shower,34,25,9,7.9,65,47,1013
2010-02-22,Patchy rain possible,33,24,7,1.5,67,49,1013
2010-02-23,Partly cloudy,36,27,11,0.0,58,21,1011
2010-02-24,Sunny,36,24,9,0.0,60,9,1010
2010-02-25,Sunny,38,24,7,0.0,60,6,1011
2010-02-26,Sunny,37,25,8,0.0,59,7,1010
2010-02-27,Sunny,37,25,8,0.0,61,9,1010
2010-02-28,Sunny,37,25,12,0.0,60,5,1011
2010-03-01,Sunny,37,25,10,0.0,57,5,1012
2010-03-02,Partly cloudy,35,25,6,0.0,59,16,1011
2010-03-03,Cloudy,35,26,9,0.0,61,46,1010
2010-03-04,Cloudy,34,26,10,0.1,63,51,1011
2010-03-05,Overcast,34,26,9,0.2,60,55,1011
2010-03-06,Partly cloudy,39,27,8,0.0,54,12,1011
2010-03-07,Cloudy,34,26,9,0.1,60,28,1012
2010-03-08,Partly cloudy,36,27,10,0.0,60,16,1012
2010-03-09,Light rain shower,35,27,8,4.3,68,44,1014
2010-03-10,Patchy light drizzle,38,26,10,0.5,55,26,1014
2010-03-11,Partly cloudy,38,26,8,0.1,48,18,1015
2010-03-12,Sunny,39,26,8,0.0,51,11,1014
2010-03-13,Partly cloudy,36,26,10,0.0,54,24,1013
2010-03-14,Sunny,37,27,11,0.0,53,11,1011
2010-03-15,Sunny,40,25,9,0.0,54,13,1011
2010-03-16,Sunny,38,27,15,0.0,45,7,1011
2010-03-17,Partly cloudy,37,26,10,0.0,51,24,1013
2010-03-18,Partly cloudy,39,27,11,0.0,46,24,1013
2010-03-19,Partly cloudy,37,25,9,0.0,47,12,1011
2010-03-20,Partly cloudy,35,26,9,0.0,56,21,1010
2010-03-21,Partly cloudy,34,28,12,0.0,56,20,1010
2010-03-22,Partly cloudy,36,26,11,0.0,59,20,1009
2010-03-23,Partly cloudy,36,26,10,0.0,63,31,1008
2010-03-24,Light rain shower,36,27,7,2.1,63,59,1008
2010-03-25,Moderate or heavy rain shower,38,27,7,6.5,66,42,1009
2010-03-26,Light rain shower,35,26,9,6.3,64,31,1011
2010-03-27,Patchy light rain,37,26,5,2.5,61,36,1011
2010-03-28,Patchy light drizzle,34,26,6,2.3,64,33,1011
2010-03-29,Patchy rain possible,37,26,9,2.7,60,50,1011
2010-03-30,Partly cloudy,35,27,10,1.3,60,39,1011
2010-03-31,Cloudy,36,27,7,0.1,60,43,1011
2010-04-01,Light rain shower,34,26,9,2.2,65,34,1011
2010-04-02,Light rain shower,37,26,8,0.6,65,34,1011
2010-04-03,Partly cloudy,36,27,12,0.0,59,16,1011
2010-04-04,Partly cloudy,36,27,10,0.0,59,28,1011
2010-04-05,Partly cloudy,37,27,9,0.0,59,37,1010
2010-04-06,Cloudy,35,28,9,0.0,60,38,1010
2010-04-07,Sunny,36,27,8,0.0,57,18,1012
2010-04-08,Sunny,39,28,11,0.0,54,14,1012
2010-04-09,Overcast,36,27,9,0.2,61,43,1010
2010-04-10,Partly cloudy,38,27,8,0.7,55,30,1009
2010-04-11,Partly cloudy,38,27,10,0.0,55,20,1008
2010-04-12,Light rain shower,33,28,9,1.4,67,39,1009
2010-04-13,Patchy rain possible,39,27,8,1.1,55,26,1009
2010-04-14,Cloudy,38,27,12,0.1,56,22,1010
2010-04-15,Partly cloudy,41,28,11,0.0,53,17,1010
2010-04-16,Torrential rain shower,35,28,11,16.8,69,33,1011
2010-04-17,Patchy rain possible,35,26,10,1.1,66,27,1012
2010-04-18,Partly cloudy,36,27,7,3.3,66,29,1011
2010-04-19,Torrential rain shower,34,27,6,22.7,74,41,1010
2010-04-20,Torrential rain shower,34,27,3,30.5,81,38,1009
2010-04-21,Moderate or heavy rain shower,34,26,4,14.4,77,45,1010
2010-04-22,Moderate or heavy rain shower,33,27,7,13.7,78,23,1010
2010-04-23,Light rain shower,35,27,8,2.7,71,33,1011
2010-04-24,Sunny,37,27,10,0.0,61,11,1011
2010-04-25,Partly cloudy,35,28,9,0.0,57,19,1011
2010-04-26,Sunny,38,27,10,0.0,56,14,1012
2010-04-27,Patchy light drizzle,36,28,8,0.4,61,48,1012
2010-04-28,Patchy rain possible,34,28,6,4.2,68,48,1012
2010-04-29,Moderate or heavy rain shower,32,27,6,15.7,82,48,1011
2010-04-30,Moderate or heavy rain shower,31,26,6,5.7,84,48,1011
2010-05-01,Moderate or heavy rain shower,35,26,8,9.2,78,53,1011
2010-05-02,Torrential rain shower,33,26,7,23.8,80,50,1009
2010-05-03,Moderate or heavy rain shower,32,26,6,45.1,84,58,1008
2010-05-04,Patchy light rain with thunder,30,27,4,24.9,88,39,1007
2010-05-05,Light rain shower,34,26,6,5.7,79,21,1007
2010-05-06,Patchy rain possible,37,26,6,1.6,69,17,1007
2010-05-07,Cloudy,37,27,6,0.0,66,38,1007
2010-05-08,Partly cloudy,40,28,6,0.7,60,32,1006
2010-05-09,Light rain shower,37,28,5,7.4,71,55,1006
2010-05-10,Moderate or heavy rain shower,39,27,6,8.4,71,33,1006
2010-05-11,Light rain shower,37,27,8,2.9,71,42,1007
2010-05-12,Partly cloudy,35,28,9,1.3,67,19,1007
2010-05-13,Light rain shower,36,27,8,2.7,67,31,1007
2010-05-14,Light rain shower,37,27,8,5.9,68,34,1007
2010-05-15,Moderate or heavy rain shower,35,28,8,13.2,74,26,1007
2010-05-16,Moderate or heavy rain shower,34,27,8,19.6,79,25,1008
2010-05-17,Partly cloudy,37,27,8,0.1,71,18,1008
2010-05-18,Moderate or heavy rain shower,35,27,8,7.3,73,21,1009
2010-05-19,Moderate or heavy rain shower,33,27,4,20.0,82,24,1009
2010-05-20,Moderate or heavy rain shower,33,27,5,17.8,81,24,1009
2010-05-21,Torrential rain shower,33,27,7,27.1,85,33,1009
2010-05-22,Torrential rain shower,32,27,6,33.8,87,37,1009
2010-05-23,Moderate or heavy rain shower,32,26,8,16.9,85,48,1008
2010-05-24,Moderate or heavy rain shower,33,26,8,19.8,85,24,1007
2010-05-25,Torrential rain shower,31,26,8,34.3,89,29,1008
2010-05-26,Moderate or heavy rain shower,30,26,7,7.4,89,42,1008
2010-05-27,Patchy light rain with thunder,29,26,4,2.4,91,33,1009
2010-05-28,Light rain shower,30,26,5,2.0,87,55,1010
2010-05-29,Moderate or heavy rain shower,33,26,5,7.3,83,42,1010
2010-05-30,Moderate or heavy rain shower,32,26,6,5.4,82,30,1009
2010-05-31,Moderate or heavy rain shower,34,26,6,8.5,83,25,1009
2010-06-01,Moderate or heavy rain shower,33,26,7,9.0,84,20,1009
2010-06-02,Patchy light rain with thunder,32,26,7,17.1,88,28,1009
2010-06-03,Moderate or heavy rain shower,32,26,5,17.1,88,36,1010
2010-06-04,Moderate or heavy rain shower,32,26,6,16.9,88,26,1009
2010-06-05,Patchy light rain with thunder,31,26,5,36.1,92,51,1008
2010-06-06,Torrential rain shower,31,26,5,28.0,91,52,1008
2010-06-07,Torrential rain shower,30,26,5,25.2,92,45,1009
2010-06-08,Torrential rain shower,32,26,4,22.2,90,40,1009
2010-06-09,Moderate or heavy rain shower,33,26,4,15.7,88,48,1009
2010-06-10,Moderate or heavy rain shower,31,26,4,8.7,87,41,1009
2010-06-11,Patchy rain possible,33,26,5,1.6,83,24,1009
2010-06-12,Light rain shower,33,26,5,2.6,81,33,1009
2010-06-13,Moderate or heavy rain shower,33,26,5,15.3,83,31,1009
2010-06-14,Moderate or heavy rain shower,32,26,4,13.3,87,47,1010
2010-06-15,Moderate or heavy rain shower,31,26,5,19.2,90,48,1009
2010-06-16,Patchy light rain with thunder,31,25,6,10.0,87,45,1009
2010-06-17,Moderate or heavy rain shower,32,25,6,18.3,89,32,1009
2010-06-18,Moderate or heavy rain shower,30,25,8,17.6,90,46,1010
2010-06-19,Moderate or heavy rain shower,32,24,7,8.8,86,52,1009
2010-06-20,Moderate or heavy rain shower,30,25,6,12.3,90,44,1008
2010-06-21,Moderate or heavy rain shower,29,25,8,11.8,92,55,1007
2010-06-22,Torrential rain shower,30,25,9,22.2,92,73,1008
2010-06-23,Moderate or heavy rain shower,30,25,6,16.7,92,54,1010
2010-06-24,Moderate or heavy rain shower,32,25,6,8.0,86,34,1008
2010-06-25,Moderate or heavy rain shower,32,25,6,8.3,87,38,1007
2010-06-26,Torrential rain shower,30,26,7,28.0,91,40,1008
2010-06-27,Moderate or heavy rain shower,31,25,6,19.7,91,45,1008
2010-06-28,Moderate or heavy rain shower,31,25,6,11.1,90,56,1007
2010-06-29,Light rain shower,31,25,7,4.1,88,33,1008
2010-06-30,Patchy rain possible,34,25,6,2.0,84,20,1008
2010-07-01,Moderate or heavy rain shower,29,26,4,10.8,92,58,1008
2010-07-02,Moderate or heavy rain shower,32,25,4,10.4,90,67,1009
2010-07-03,Torrential rain shower,33,25,4,17.7,87,35,1010
2010-07-04,Light rain shower,29,25,6,2.9,89,58,1011
2010-07-05,Moderate or heavy rain shower,33,24,3,13.1,84,34,1010
2010-07-06,Moderate or heavy rain shower,31,25,4,5.9,87,19,1010
2010-07-07,Moderate or heavy rain shower,34,24,3,6.8,82,17,1010
2010-07-08,Moderate or heavy rain shower,34,25,5,8.9,82,24,1010
2010-07-09,Moderate or heavy rain shower,31,25,6,14.1,88,38,1009
2010-07-10,Moderate or heavy rain shower,33,24,6,7.8,86,46,1009
2010-07-11,Moderate or heavy rain shower,31,25,5,9.6,89,43,1010
2010-07-12,Moderate or heavy rain shower,32,25,5,14.7,87,44,1009
2010-07-13,Torrential rain shower,31,26,5,18.4,90,62,1008
2010-07-14,Moderate or heavy rain shower,32,25,4,9.7,89,63,1007
2010-07-15,Moderate rain at times,27,25,4,8.7,95,69,1007
2010-07-16,Light rain,28,24,5,3.9,93,64,1007
2010-07-17,Moderate or heavy rain shower,30,24,5,9.8,92,57,1008
2010-07-18,Moderate or heavy rain shower,31,25,4,7.3,88,35,1010
2010-07-19,Patchy rain possible,34,25,5,2.2,83,20,1009
2010-07-20,Moderate or heavy rain shower,32,25,5,13.5,86,32,1009
2010-07-21,Light rain shower,29,25,5,3.2,92,78,1008
2010-07-22,Moderate or heavy rain shower,31,25,7,7.2,91,46,1008
2010-07-23,Moderate or heavy rain shower,30,24,9,10.9,91,49,1007
2010-07-24,Moderate or heavy rain shower,30,24,8,4.4,89,55,1006
2010-07-25,Moderate rain at times,25,24,8,8.6,94,62,1006
2010-07-26,Moderate or heavy rain shower,29,23,7,9.3,91,78,1005
2010-07-27,Moderate or heavy rain shower,30,24,7,6.2,92,67,1006
2010-07-28,Moderate or heavy rain shower,30,25,7,8.4,91,53,1009
2010-07-29,Light rain shower,33,24,6,1.9,81,63,1009
2010-07-30,Moderate or heavy rain shower,33,25,6,7.5,83,41,1009
2010-07-31,Moderate or heavy rain shower,33,25,6,10.0,89,53,1008
2010-08-01,Torrential rain shower,30,25,6,16.7,93,78,1009
2010-08-02,Light rain shower,30,24,7,3.2,90,63,1009
2010-08-03,Patchy rain possible,32,24,6,2.2,83,31,1008
2010-08-04,Patchy rain possible,33,25,9,1.7,80,21,1007
2010-08-05,Partly cloudy,33,25,8,0.0,76,31,1007
2010-08-06,Patchy rain possible,33,25,10,2.0,78,36,1008
2010-08-07,Moderate or heavy rain shower,33,25,10,5.1,80,48,1006
2010-08-08,Moderate or heavy rain shower,31,24,10,12.6,82,50,1005
2010-08-09,Light rain shower,31,24,10,3.7,81,44,1005
2010-08-10,Moderate or heavy rain shower,32,25,10,17.1,84,57,1006
2010-08-11,Light rain shower,30,24,7,6.0,88,58,1008
2010-08-12,Moderate or heavy rain shower,35,24,4,5.3,84,39,1009
2010-08-13,Patchy light rain with thunder,33,25,4,13.1,84,37,1008
2010-08-14,Moderate or heavy rain shower,32,26,4,15.9,85,36,1008
2010-08-15,Moderate or heavy rain shower,34,26,4,8.0,83,25,1009
